Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME,AGE,BMI,PATIENT,Diastolic Blood Pressure,Glucose,Hemoglobin A1c/Hemoglobin.total in Blood,Systolic Blood Pressure,Body Height,Body Weight,fev1_fvc,respiratory_rate,oxygen,carbon_dioxide,smoking,dyspnea,wheezing,cough,systolic_bp,diastolic_bp,cholesterol,ldl,hdl,triglycerides,troponin,creatinine,bmi,glucose,crp,nt_probnp,lvef,copd_chronic_obstructive_bronchitis,copd_pulmonary_emphysema,copd_hypoxemia,copd_respiratory_distress,copd_pneumonia,cvd_hypertension,cvd_heart_failure,cvd_ischemic_heart_disease,cvd_atrial_fibrillation,cvd_metabolic_syndrome,cvd_hyperlipidemia,cvd_diabetes,has_diabetes,diabetes_risk_score,has_copd,copd_risk_score,has_cvd,cvd_risk_score
a0b63e97-b6fd-5fe1-8f2d-2bec915efa97,1994-10-16,,999-53-6488,S99924217,X65314057X,Mr.,Luther918,Monroe732,MacGyver246,,,S,white,nonhispanic,M,Richmond  California  US,250 Morar Fork Apt 66,Los Angeles,California,Los Angeles County,6037.0,90066,33.803958143636194,-118.16499538672404,23577.48,154742.48,41800,31,28.784120244487337,a0b63e97-b6fd-5fe1-8f2d-2bec915efa97,78.8,84.5,6.1,124.2,186.8,100.44,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.302,0,0.125,1,0.729
92675303-ca5b-136a-169b-e764c5753f06,1998-12-25,,999-62-9859,S99975251,X4678055X,Mr.,Lorenzo669,Julio255,Urrutia540,,,,white,hispanic,M,Carolina  Puerto Rico  PR,386 Altenwerth Orchard Apt 67,Glendale,California,Los Angeles County,6037.0,91210,34.21521949034581,-118.20846654003924,88776.12,4647.77,88407,26,21.63662613453452,92675303-ca5b-136a-169b-e764c5753f06,78.66666666666667,84.5,6.1,131.16666666666666,175.53333333333333,66.66666666666667,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.174,0,0.197,1,0.546
59844213-b884-17cb-59e9-c07a73a06f41,1977-06-23,,999-75-8169,S99938953,X54412647X,Mr.,Frederick289,Galen747,Breitenberg711,,,M,asian,nonhispanic,M,Oroville  California  US,227 Stiedemann Union Suite 28,Brea,California,Orange County,6059.0,92870,33.9393011179221,-117.76723948180056,16247.2,210606.8,20100,48,29.568502363792707,59844213-b884-17cb-59e9-c07a73a06f41,81.0,84.5,6.116666666666667,125.66666666666669,163.3,78.85000000000001,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.501,0,0.547,1,0.993
6f3ec64a-c315-2b26-5973-21ef2f09160f,1982-06-17,,999-14-3900,S99994747,X62166063X,Mrs.,Velvet616,Belia417,Vandervort697,,Legros616,D,white,nonhispanic,F,Riverside  California  US,893 McGlynn Gateway Apt 0,San Ramon,California,Contra Costa County,6013.0,94583,37.7704536901125,-121.91869105402458,30062.14,808314.42,162127,43,28.417514792899404,6f3ec64a-c315-2b26-5973-21ef2f09160f,82.6,84.5,6.1,115.0,162.5,75.03999999999999,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.406,0,0.376,1,0.874
28d7b56c-6056-d0a2-2991-39d6e917216c,2000-07-23,,999-31-6091,S99970635,X74386986X,Ms.,Angela104,Bella510,Funk324,,,,white,hispanic,F,Orange  California  US,677 Bosco Extension,Isla Vista,California,Santa Barbara County,6083.0,93117,34.498327715195025,-120.05797683062254,6959.3,143639.76,10451,25,21.968036414325024,28d7b56c-6056-d0a2-2991-39d6e917216c,77.0,84.5,6.1,134.1,154.06,52.14,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.108,0,0.189,1,0.669
239ae86a-96db-6211-9042-d3f2850aabb8,1971-02-04,,999-74-7366,S99972402,X65645036X,Mr.,Darrell400,Harry448,Muller251,,,M,white,hispanic,M,Dublin  California  US,541 Stracke Plaza,San Jose,California,Santa Clara County,6085.0,95140,37.30226576037261,-121.96683622886896,9186.97,204642.47,3928,54,27.78503421670111,239ae86a-96db-6211-9042-d3f2850aabb8,84.85714285714286,84.5,6.071428571428571,137.57142857142858,185.2,95.3,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.633,0,0.623,1,0.997
abc59f62-dc5a-5095-1141-80b4ee8be73b,1997-01-31,,999-37-1058,S99972503,X43368677X,Ms.,Jacque955,Jin479,Will178,,,S,white,nonhispanic,F,Santa Cruz  California  US,492 Keebler Estate,Fairfield,California,Solano County,6095.0,94585,38.18324005715623,-121.9588555053258,278118.27,99372.42,41915,28,25.100872385009865,abc59f62-dc5a-5095-1141-80b4ee8be73b,73.5,84.5,6.1,106.66666666666669,158.3,62.9,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0,0.214,0,0.624
d92132ce-06ac-3ab4-217f-97257a290b22,2012-05-13,,999-65-7810,,,,Dannette613,Darcie474,Bauch723,,,,white,nonhispanic,F,Berkeley  California  US,593 Doyle Ranch,Lemon Hill,California,Sacramento County,,0,38.55092979196755,-121.40955183225064,2162.1,35899.98,31770,13,15.155234607115707,d92132ce-06ac-3ab4-217f-97257a290b22,83.25,84.5,6.1,128.08333333333334,124.325,23.425,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0.11,0,0.129
54f1059e-6250-3949-6dd0-1dda9b85d22a,2003-10-02,,999-28-3364,S99915851,X13079528X,Ms.,Fredricka415,Matha641,Crist667,,,,white,nonhispanic,F,San Jose  California  US,931 Bartell Ville Apt 84,Irvine,California,Orange County,6059.0,92676,33.74517092481692,-117.74997027981271,52846.98,279664.66,330702,22,24.548056108730854,54f1059e-6250-3949-6dd0-1dda9b85d22a,88.63636363636364,84.5,6.1,135.36363636363637,158.69,61.81818181818182,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.144,0,0.081,1,0.387
a02a3f43-b6f4-d209-4062-af0cec3b22c1,2016-03-20,,999-99-5386,,,,Jacobo456,Patricio639,Malave728,,,,white,hispanic,M,Gaudalajara  Jalisco  MX,530 Zboncak Landing Suite 63,Montebello,California,Los Angeles County,6037.0,90022,34.012467415112646,-118.14746462284438,23989.59,2062.52,65295,9,19.72401170450996,a02a3f43-b6f4-d209-4062-af0cec3b22c1,86.7,84.5,6.1,128.65,90.01,15.98,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0.091,0,0.072
